,question,answers
215,"Where is the huge Mercedes-Benz factory, in Germany?","At the huge Mercedes-Benz factory in Sindelfingen, Germany workers use bicycles, color-coded by department, to move around the factory."
216,What actor played Jamil Dexter in Falling Skies?, Brandon Jay McLaren as Jamil Dexter (season 2)
217,"Where is ""This is not a film"" from?",This Is Not a Film () is an Iranian documentary film by Jafar Panahi and Mojtaba Mirtahmasb.
218,What is the sun cultivation method?,"Starting in the 1970s, many farmers switched their production method to sun cultivation, in which coffee is grown in rows under full sun with little or no forest canopy."
219,What happens with the pH is neutral?,"When the pH is neutral, the pigments are purple, when acidic, red, and when alkaline, blue."
220,What was the rating of the second half of the album?,"The review stated that the second half of the album featuring the pop songs was ""generic""."
221,How are the auroras made?,"Auroras are associated with the solar wind, a flow of ions continuously flowing outward from the Sun."
222,How is ketchup often dispenses in fast food outlets?,"In fast food outlets, ketchup is often dispensed in small packets."
223,What are popular salad garnishes?,"Popular salad garnishes are nuts, croutons, anchovies, bacon bits (real or imitation), garden beet,bell peppers, shredded carrots, diced celery, watercress, sliced cucumber, parsley, sliced mushrooms, sliced red onion, radish, french fries, sunflower seeds (shelled), real or artificial crab meat (surimi) and cherry tomatoes."
224,"In the lanthanide series, how many members must there be?","Among other things, Moseley demonstrated that the lanthanide series (from lanthanum to lutetium inclusive) must have 15 members—no fewer and no more—which was far from obvious from the chemistry at that time."
225,"Were there any fairy tale characters that were planned to be inclued in the first Shrek film, but didn't make the cut?",Planned characters not used in the film include Goldilocks and Sleeping Beauty.
226,Who take Van Gogh to etching?,"Van Gogh, introduced to etching by Gachet, made the etching ""Portrait of Doctor Gachet"" in 1890."
227,Batu-Tsagaan was designed by who?,Among the first quadratic temples was Batu-Tsagaan (1654) designed by Zanabazar.
229,what play had the painting at the art institute?,"It is also a key motif in Anthony Weigh's play ""2,000 Feet Away"", which opens with a scene featuring the painting at the Art Institute."
231,For what season of Friends did the actors decide to submit themselves on the lead actor ballot rather than the supporting actor ballot?,"Beginning with the series' eighth season, the actors decided to submit themselves in the lead actor balloting, rather than in the supporting actor fields."
232,Who helped Taylor Swift write We Are Never Ever Getting Back Together?,"The song was written by Swift, along with Max Martin and Shellback."
233,How does Peru normally serve popcorn?,"In Peru, popcorn is sometimes sweetened with small candy pellets and sweetened condensed milk, but its more often eaten with salt and the only buttered version known to any considerable degree is microwave popcorn."
234,What was the average number of viewers per episode of Grey's Anatomy during the first four seasons?,"The first four seasons of the program each ranked in the top ten among all viewers, reaching its peak Nielsen ratings in the second season, attracting an average of 19.44 million viewers per episode, and ranking at fifth place overall."
235,Where is Victoria Peak located?,"Victoria Peak (, or previously ) is a mountain in the western half of Hong Kong Island."
236,"What was the first award ""Prison Break"" was nominated for?","Following a successful airing of the series' first thirteen episodes, ""Prison Break"" was nominated for its first award, the 2005 People's Choice Award for Favorite New TV Drama."
237,"Who define Mexico to ""be the melting pot of all races?""","In light of the various ethnicities that formed the Mexican people, José Vasconcelos in his publication ""La Raza Cósmica"" (The Cosmic Race) (1925) defined Mexico to be the melting pot of all races (thus extending the definition of the ""mestizo"") not only biologically but culturally as well."
238,What month's does Grad Bash and Gradventure take place?,"""Grad Bash"" and ""Gradventure"" are two separate events held in April and May at the park."
239,"On the recording ""Where Have You Been,"" what was Aubry ""Big Juice"" Delaine credited with being in charge of?","Engineering – Aubry ""Big Juice"" Delaine, Clint Gibbs"
240,What two theory's were united by the quantum field theory?,"Later, quantum field theory unified quantum mechanics and special relativity."
241,A restoration project initiated in 2012 should renew what?,"A restoration project starting in 2012 should renew its infrastructure, heating and lighting systems."
242,What changes when seawater temperature changes?,"Upon seawater temperature change, the solubility of CO2 in the oceans changed, as well as other factors impacting air-sea CO2 exchange."
243,When was the newer redesign of Market Park?,The resulting Market Park was majorly redesigned in 1982.
244,Which are the oldest rocks in the Great Smoky Mountains?,The oldest rocks in the Smokies are the Precambrian gneiss and schists which were formed over a billion years ago from the accumulation of marine sediments and igneous rock.
245,What was the percentage rating for Gangnam Style music video in the 2012 Billboard.com readers poll?,"The music video came in first with 21% rating in the 2012 Billboard.com's readers poll, beating ""Where Have You Been"" by Rihanna (19%) and ""Beauty and a Beat"" by Justin Bieber featuring Nicki Minaj (11%)."
246,Where did Henry Moore live previously?,"Today, the Henry Moore Foundation manages the artist's former home at Perry Green in Hertfordshire as a visitor destination, with 70 acres of sculpture grounds as well as his restored house and studios."
247,When is Grad Bash and Gradventure held?,"""Grad Bash"" and ""Gradventure"" are two separate events held in April and May at the park."
